serial_number,model_id,model_name,manufactured_at,production_batch,factory_code,component_root_hash
APL-IMAC24-0051,APL-IMAC24,iMac 24-inch M4 16GB 512GB Blue,2026-01-23T08:05:00Z,IMAC24-BL-2501,SZX-81,
APL-IMAC24-0052,APL-IMAC24,iMac 24-inch M4 16GB 512GB Green,2026-01-23T08:17:00Z,IMAC24-GR-2501,SZX-81,
APL-MINI-0053,APL-MINI,Mac mini M4 16GB 512GB Silver,2026-01-23T08:29:00Z,MINI-M4-2501,SZX-82,
APL-MINI-0054,APL-MINI,Mac mini M4 Pro 24GB 1TB Silver,2026-01-23T08:41:00Z,MINI-M4P-2501,SZX-82,
APL-STUDIO-0055,APL-STUDIO,Mac Studio M4 Max 36GB 1TB Silver,2026-01-24T09:10:00Z,STUDIO-M4M-2501,SZX-83,
APL-STUDIO-0056,APL-STUDIO,Mac Studio M4 Ultra 64GB 2TB Silver,2026-01-24T09:24:00Z,STUDIO-M4U-2501,SZX-83,
APL-MPROD-0057,APL-MPROD,Mac Pro M4 Ultra 64GB 2TB Silver,2026-01-24T09:38:00Z,MPROD-M4U-2501,SZX-84,
APL-MPROD-0058,APL-MPROD,Mac Pro M4 Ultra 128GB 4TB Silver,2026-01-24T09:52:00Z,MPROD-M4U-2501,SZX-84,
APL-IPSE-0059,APL-IPSE,iPhone SE 4 128GB Midnight,2026-01-25T06:12:00Z,IPSE4-MD-2501,ZZH-21,
APL-IPSE-0060,APL-IPSE,iPhone SE 4 256GB Starlight,2026-01-25T06:21:00Z,IPSE4-ST-2501,ZZH-21,
APL-WSE2-0061,APL-WSE2,Apple Watch SE 2 44mm GPS Midnight,2026-01-25T06:33:00Z,WSE2-MD-2501,KUN-51,
APL-WSE2-0062,APL-WSE2,Apple Watch SE 2 40mm GPS Starlight,2026-01-25T06:42:00Z,WSE2-ST-2501,KUN-51,
APL-AIR4-0063,APL-AIR4,AirPods 4 with Active Noise Cancellation,2026-01-26T04:05:00Z,AIR4-ANC-2501,DLM-61,
APL-AIR4-0064,APL-AIR4,AirPods 4 Standard Charging Case,2026-01-26T04:14:00Z,AIR4-STD-2501,DLM-61,
APL-HPMINI-0065,APL-HPMINI,HomePod mini Midnight,2026-01-26T04:26:00Z,HPMINI-MD-2501,SIN-71,
APL-HPMINI-0066,APL-HPMINI,HomePod mini Yellow,2026-01-26T04:35:00Z,HPMINI-YL-2501,SIN-71,
APL-ATAG-0067,APL-ATAG,AirTag 1-Pack,2026-01-27T03:10:00Z,ATAG-1P-2501,DLM-71,
APL-ATAG-0068,APL-ATAG,AirTag 4-Pack,2026-01-27T03:19:00Z,ATAG-4P-2501,DLM-71,
APL-PENCIL-0069,APL-PENCIL,Apple Pencil Pro,2026-01-27T03:31:00Z,PENCIL-PRO-2501,CDG-41,
APL-MKB-0070,APL-MKB,Magic Keyboard for iPad Pro 13-inch Black,2026-01-27T03:44:00Z,MKB-IP13-BK-2501,CDG-41,
